Year,AvgTEMP_C,,,,,,,,,,
1995,24.57,,,,,,,,,,
1995,24.32,,,,,,,,,,
1995,24.74,,,,,,,,,,
1995,24.94,,,,,,,,,,
1995,23.77,,,,,,,,,,
1995,22.86,,,,,,,,,,
1995,20.03,,,,,,,,,,
1995,18.72,,,,,,,,,,
1995,17.69,,,,,,,,,,
1995,17.52,,,,,,,,,,
1995,15.64,,,,,,,,,,
1995,13.96,,,,,,,,,,
1995,12.64,,,,,,,,,,
1995,11.87,,,,,,,,,,
1995,10.97,,,,,,,,,,
1995,10.47,,,,,,,,,,
1995,10.13,,,,,,,,,,
1995,10.43,,,,,,,,,,
1995,12.68,,,,,,,,,,
1995,17.17,,,,,,,,,,
1995,19.59,,,,,,,,,,
1995,21.6,,,,,,,,,,
1995,23.63,,,,,,,,,,
1995,25.32,,,,,,,,,,
1995,25.9,,,,,,,,,,
1995,26.65,,,,,,,,,,
1995,27.02,,,,,,,,,,
1995,26.84,,,,,,,,,,
1995,24.48,,,,,,,,,,
1995,21.14,,,,,,,,,,
1995,19.23,,,,,,,,,,
1995,17.75,,,,,,,,,,
1995,16.73,,,,,,,,,,
1995,15.68,,,,,,,,,,
1995,14.8,,,,,,,,,,
1995,14.18,,,,,,,,,,
1995,13.8,,,,,,,,,,
1995,13.67,,,,,,,,,,
1995,13.31,,,,,,,,,,
1995,13.26,,,,,,,,,,
1995,13.2,,,,,,,,,,
1995,13.6,,,,,,,,,,
1995,15.05,,,,,,,,,,
1995,19.03,,,,,,,,,,
1995,21.35,,,,,,,,,,
1995,22.42,,,,,,,,,,
1995,24.03,,,,,,,,,,
1995,25.8,,,,,,,,,,
1995,26.87,,,,,,,,,,
1995,27.53,,,,,,,,,,
1995,28.01,,,,,,,,,,
1995,26.96,,,,,,,,,,
1995,26.89,,,,,,,,,,
1995,23.89,,,,,,,,,,
1995,22.27,,,,,,,,,,
1995,20.94,,,,,,,,,,
1995,19.98,,,,,,,,,,
1995,18.97,,,,,,,,,,
1995,19.12,,,,,,,,,,
1995,18.66,,,,,,,,,,
1995,16.75,,,,,,,,,,
1995,15.13,,,,,,,,,,
1995,14.43,,,,,,,,,,
1995,14.11,,,,,,,,,,
1995,13.75,,,,,,,,,,
1995,13.87,,,,,,,,,,
1995,14.92,,,,,,,,,,
1995,18.17,,,,,,,,,,
1995,22.02,,,,,,,,,,
1995,23.96,,,,,,,,,,
1995,25.55,,,,,,,,,,
1995,25.83,,,,,,,,,,
1995,26.69,,,,,,,,,,
1995,26.56,,,,,,,,,,
1995,26.86,,,,,,,,,,
1995,27.72,,,,,,,,,,
1995,26.92,,,,,,,,,,
1995,25.18,,,,,,,,,,
1995,23.11,,,,,,,,,,
1995,21.68,,,,,,,,,,
1995,21.15,,,,,,,,,,
1995,20.61,,,,,,,,,,
1995,21.16,,,,,,,,,,
1995,21.51,,,,,,,,,,
1995,20.82,,,,,,,,,,
1995,20.69,,,,,,,,,,
1995,21.11,,,,,,,,,,
1995,20.29,,,,,,,,,,
1995,19.38,,,,,,,,,,
1995,19.52,,,,,,,,,,
1995,19.95,,,,,,,,,,
1995,22.39,,,,,,,,,,
1995,23.97,,,,,,,,,,
1995,26.58,,,,,,,,,,
1995,27.79,,,,,,,,,,
1995,28.64,,,,,,,,,,
1995,29.29,,,,,,,,,,
1995,29.36,,,,,,,,,,
1995,29.77,,,,,,,,,,
1995,28.11,,,,,,,,,,
1995,27.89,,,,,,,,,,
1995,27.15,,,,,,,,,,
1995,25.29,,,,,,,,,,
1995,24.58,,,,,,,,,,
1995,23.84,,,,,,,,,,
1995,23.25,,,,,,,,,,
1995,23.19,,,,,,,,,,
1995,23.29,,,,,,,,,,
1995,23.03,,,,,,,,,,
1995,21.99,,,,,,,,,,
1995,21.34,,,,,,,,,,
1995,20.95,,,,,,,,,,
1995,20.49,,,,,,,,,,
1995,20.57,,,,,,,,,,
1995,21.72,,,,,,,,,,
1995,23.76,,,,,,,,,,
1995,24.79,,,,,,,,,,
1995,25.75,,,,,,,,,,
1995,27.11,,,,,,,,,,
1995,28.17,,,,,,,,,,
1995,27.86,,,,,,,,,,
1995,28.65,,,,,,,,,,
1995,28.22,,,,,,,,,,
1995,29,,,,,,,,,,
1995,28.23,,,,,,,,,,
1995,27.52,,,,,,,,,,
1995,25.38,,,,,,,,,,
1995,23.9,,,,,,,,,,
1995,23.01,,,,,,,,,,
1995,22.24,,,,,,,,,,
1995,22.68,,,,,,,,,,
1995,21.72,,,,,,,,,,
1995,20.64,,,,,,,,,,
1995,20.14,,,,,,,,,,
1995,19.49,,,,,,,,,,
1995,18.74,,,,,,,,,,
1995,18.04,,,,,,,,,,
1995,17.66,,,,,,,,,,
1995,17.98,,,,,,,,,,
1995,20.53,,,,,,,,,,
1995,23.03,,,,,,,,,,
1995,23.94,,,,,,,,,,
1995,24.77,,,,,,,,,,
1995,26.32,,,,,,,,,,
1995,27.39,,,,,,,,,,
1995,28.59,,,,,,,,,,
1995,29.48,,,,,,,,,,
1995,30.01,,,,,,,,,,
1995,28.22,,,,,,,,,,
1995,24.86,,,,,,,,,,
1995,23.12,,,,,,,,,,
1995,21.48,,,,,,,,,,
1995,20.79,,,,,,,,,,
1995,19.94,,,,,,,,,,
1995,19.45,,,,,,,,,,
1995,18.22,,,,,,,,,,
1995,17.51,,,,,,,,,,
1995,17.08,,,,,,,,,,
