Year,Month,Avg_Precip (in),Average NE_Temp (F),Annual_Precip (in)
1995,1,3.75,46.9,40
,2,2.31,,
,3,2.03,,
,4,2.34,,
,5,3.6,,
,6,2.91,,
,7,3.74,,
,8,2.31,,
,9,2.89,,
,10,6.8,,
,11,4.76,,
,12,2.56,,
1996,1,5.35,46.2,54.98
,2,2.74,,
,3,2.96,,
,4,4.96,,
,5,5.3,,
,6,4.68,,
,7,6.56,,
,8,2.82,,
,9,5.9,,
,10,4.64,,
,11,3.63,,
,12,5.44,,
1997,1,2.92,46.1,40.01
,2,2.33,,
,3,4.4,,
,4,2.7,,
,5,3.65,,
,6,3.12,,
,7,3.5,,
,8,4.56,,
,9,3.21,,
,10,1.82,,
,11,4.91,,
,12,2.88,,
1998,1,5.1,49.8,43.62
,2,3.61,,
,3,4.06,,
,4,4.02,,
,5,4.11,,
,6,6.8,,
,7,3.4,,
,8,3.09,,
,9,2.51,,
,10,3.26,,
,11,1.85,,
,12,1.81,,
1999,1,5.8,48.7,42.25
,2,2.07,,
,3,4.27,,
,4,2.26,,
,5,2.79,,
,6,2.31,,
,7,3.02,,
,8,3.33,,
,9,7.46,,
,10,3.34,,
,11,3.17,,
,12,2.44,,
2000,1,3.03,46.7,44.52
,2,3.05,,
,3,3.54,,
,4,5,,
,5,4.74,,
,6,4.79,,
,7,4.53,,
,8,3.85,,
,9,3.7,,
,10,2.17,,
,11,2.64,,
,12,3.49,,
2001,1,1.92,48.3,34.86
,2,2.27,,
,3,4.74,,
,4,1.75,,
,5,3.33,,
,6,4.35,,
,7,3.61,,
,8,2.99,,
,9,3.66,,
,10,1.86,,
,11,1.89,,
,12,2.52,,
2002,1,2.42,48.4,44.27
,2,2,,
,3,3.91,,
,4,4.32,,
,5,4.85,,
,6,4.86,,
,7,2.85,,
,8,2.33,,
,9,4.33,,
,10,4.58,,
,11,4.14,,
,12,3.67,,
2003,1,2.25,46.4,52.01
,2,3.58,,
,3,3.08,,
,4,2.82,,
,5,4.93,,
,6,5.1,,
,7,4.62,,
,8,4.95,,
,9,5.94,,
,10,5.27,,
,11,4.53,,
,12,4.93,,
2004,1,2.25,47.1,47.21
,2,1.93,,
,3,2.56,,
,4,4.63,,
,5,5.04,,
,6,3.45,,
,7,5.7,,
,8,5.56,,
,9,6.03,,
,10,2.44,,
,11,3.74,,
,12,3.87,,
2005,1,4.06,47.8,49.16
,2,2.34,,
,3,3.67,,
,4,4.85,,
,5,3.13,,
,6,3.24,,
,7,4.34,,
,8,3.88,,
,9,3.88,,
,10,8.74,,
,11,4.8,,
,12,3.33,,
2006,1,4.29,49.2,49.37
,2,1.99,,
,3,1.41,,
,4,3.4,,
,5,4.41,,
,6,7.68,,
,7,4.92,,
,8,3.87,,
,9,4.35,,
,10,6.24,,
,11,4.1,,
,12,2.71,,
2007,1,3.5,47.5,44.75
,2,2.28,,
,3,3.97,,
,4,5.44,,
,5,2.28,,
,6,3.31,,
,7,4.2,,
,8,3.77,,
,9,2.48,,
,10,4.49,,
,11,4.22,,
,12,4.8,,
2008,1,2.34,47.5,49.9
,2,5.34,,
,3,4.88,,
,4,3.52,,
,5,3.26,,
,6,4.89,,
,7,5.18,,
,8,3.77,,
,9,4.46,,
,10,3.37,,
,11,3.3,,
,12,5.59,,
2009,1,2.92,46.8,46.37
,2,1.67,,
,3,2.51,,
,4,3.45,,
,5,4.97,,
,6,5.39,,
,7,5.77,,
,8,4.84,,
,9,2.61,,
,10,4.93,,
,11,2.74,,
,12,4.56,,
2010,1,2.91,49,44.97
,2,3.1,,
,3,4.78,,
,4,2.31,,
,5,3.25,,
,6,4.49,,
,7,3.99,,
,8,3.53,,
,9,3.6,,
,10,5.74,,
,11,3.36,,
,12,3.92,,
2011,1,2.22,48.8,56.53
,2,3.36,,
,3,5.07,,
,4,6.49,,
,5,5.39,,
,6,3.95,,
,7,3.13,,
,8,7.74,,
,9,7.14,,
,10,4.91,,
,11,3.4,,
,12,3.72,,
2012,1,3.14,50.1,42.89
,2,1.56,,
,3,2.48,,
,4,2.93,,
,5,4.66,,
,6,4.1,,
,7,3.69,,
,8,3.68,,
,9,4.96,,
,10,5.52,,
,11,1.06,,
,12,5.11,,
2013,1,2.55,47.5,44.72
,2,2.47,,
,3,2.41,,
,4,2.69,,
,5,4.31,,
,6,7.11,,
,7,5.08,,
,8,4.18,,
,9,3.33,,
,10,2.76,,
,11,3.67,,
,12,4.16,,
2014,1,2.75,46.3,45.03
,2,3.4,,
,3,3.31,,
,4,3.66,,
,5,4.61,,
,6,4.59,,
,7,5.28,,
,8,3.83,,
,9,1.96,,
,10,4.6,,
,11,2.96,,
,12,4.08,,
2015,1,2.84,47.6,43.22
,2,2,,
,3,2.81,,
,4,3.59,,
,5,2.45,,
,6,7.44,,
,7,4.12,,
,8,2.97,,
,9,4.45,,
,10,3.78,,
,11,2.21,,
,12,4.55,,
2016,1,2.29,49.3,40.04
,2,4.27,,
,3,2.5,,
,4,2.61,,
,5,3.6,,
,6,3.47,,
,7,3.93,,
,8,3.99,,
,9,2.89,,
,10,4.26,,
,11,2.41,,
,12,3.83,,
2017,1,3.7,48.8,46.35
,2,2.48,,
,3,3.57,,
,4,4.4,,
,5,5.92,,
,6,4.43,,
,7,5.17,,
,8,3.55,,
,9,2.44,,
,10,5.76,,
,11,2.53,,
,12,2.41,,
2018,1,3.6,48.1,56.29
,2,4.43,,
,3,3.27,,
,4,4.36,,
,5,3.94,,
,6,4.36,,
,7,5.46,,
,8,5.37,,
,9,6.62,,
,10,4.45,,
,11,6.36,,
,12,4.07,,
2019,1,4.57,,
,2,3.36,,
,3,2.53,,
,4,4.71,,
,5,5.35,,
,6,4.94,,
