Year,Month,Temp,Precip
1996,1,-5.07161022,0.229032258
1997,1,-4.194375,0.092069892
1998,1,0.30055418,0.138191633
1999,1,-3.25948568,0.20577957
2000,1,-4.43825202,0.05606469
2002,1,1.00259409,0.056182796
2003,1,-6.90428091,0.091263441
2004,1,-8.25733602,0.046774194
2005,1,-5.29691801,0.097043011
2006,1,1.16206452,0.406048387
2007,1,-0.57021102,0.079704301
2008,1,-1.03090323,0.072446237
2009,1,-6.30798656,0.018682796
2010,1,-3.62868145,0.115322581
2011,1,-5.04411081,0.020405405
2012,1,-0.84847581,0.091935484
2013,1,-1.61978629,0.09905914
2014,1,-6.20744832,0.129269799
2015,1,-6.33224161,0.211322148
2016,1,-2.62826613,0.176106183
2017,1,-0.95980088,0.248768437
2018,1,-2.85344409,0.242398425
2019,1,-4.5753172,0.259633065
1996,2,-2.92765374,0.073275862
1997,2,0.51946875,0.064434524
1998,2,0.78625893,0.169940476
1999,2,-0.67955952,0.108184524
2000,2,-1.22284839,0.08820827
2002,2,0.98288839,0.030654762
2003,2,-4.98683929,0.08764881
2004,2,-2.47785776,0.069827586
2005,2,-1.32677827,0.107589286
2006,2,-1.61758631,0.106696429
2007,2,-6.2852619,0.073363095
2008,2,-2.019625,0.197126437
2009,2,-1.17489732,0.060714286
2010,2,-2.84905506,0.04360119
2011,2,-2.00673323,0.150372578
2012,2,1.17919828,0.047557471
2013,2,-2.58029315,0.085863095
2014,2,-4.75275893,0.061876488
2015,2,-9.32601935,0.052546131
2016,2,-0.72341236,0.313185345
2017,2,1.38382292,0.158927083
2018,2,1.2273869,0.364111607
2019,2,-2.12761756,0.191276786
1996,3,0.25667473,0.086962366
1997,3,1.46962097,0.152553763
1998,3,4.10360484,0.134274194
1999,3,1.72286694,0.248521505
2000,3,5.08968548,0.145295699
2002,3,3.20708871,0.111962366
2003,3,2.37302419,0.130241935
2004,3,3.12357392,0.101612903
2005,3,-0.19132527,0.169354839
2006,3,2.57998118,0.043010753
2007,3,1.95965054,0.094758065
2008,3,1.80170833,0.198655914
2009,3,2.71352016,0.065860215
2010,3,5.87963844,0.298252688
2011,3,1.71730552,0.278600269
2012,3,7.98697849,0.054166667
2013,3,0.70554704,0.069623656
2014,3,-1.6662957,0.13944086
2015,3,-0.85618414,0.198262097
2016,3,5.48918817,0.072563172
2017,3,-0.51855108,0.216491935
2018,3,0.09193145,0.283384409
2019,3,1.03572849,0.203348118
1996,4,7.74748329,0.25264624
1997,4,7.53980833,0.128888889
1998,4,9.57171111,0.142638889
1999,4,8.73694028,0.074583333
2000,4,7.50116111,0.135
2001,4,11.17597125,0.018442623
2002,4,10.01032222,0.134027778
2003,4,6.82447778,0.101388889
